vehicle_id,device_id,ride_date,minute_offset,max_current_per_throttle_ratio,above_threshold
122IAG,16040936,2026-08-21,536,1.185,True
122IAG,16040936,2026-08-21,537,1.245,True
122IAG,16040936,2026-08-21,538,0.494,False
122IAG,16040936,2026-08-21,539,1.183,True
122IAG,16040936,2026-08-21,540,1.087,False
122IAG,16040936,2026-08-21,541,0.835,False
122IAG,16040936,2026-08-21,542,0.615,False
122IAG,16040936,2026-08-21,543,0.775,False
122IAG,16040936,2026-08-21,544,1.126,False
122IAG,16040936,2026-08-21,545,0.771,False
122IAG,16040936,2026-08-21,552,1.348,True
122IAG,16040936,2026-08-21,553,0.784,False
122IAG,16040936,2026-08-21,554,0.952,False
122IAG,16040936,2026-08-21,555,1.418,True
122IAG,16040936,2026-08-21,556,1.333,True
122IAG,16040936,2026-08-21,557,0.963,False
122IAG,16040936,2026-08-21,558,1.281,True
122IAG,16040936,2026-08-21,561,1.268,True
122IAG,16040936,2026-08-21,562,1.208,True
122IAG,16040936,2026-08-21,563,1.282,True
122IAG,16040936,2026-08-21,564,0.952,False
122IAG,16040936,2026-08-21,565,0.841,False
122IAG,16040936,2026-08-21,566,1.32,True
122IAG,16040936,2026-08-21,571,1.046,False
122IAG,16040936,2026-08-21,572,1.434,True
122IAG,16040936,2026-08-21,573,1.471,True
122IAG,16040936,2026-08-21,575,1.509,True
122IAG,16040936,2026-08-21,576,1.287,True
122IAG,16040936,2026-08-21,577,1.413,True
122IAG,16040936,2026-08-21,578,0.911,False
122IAG,16040936,2026-08-21,579,0.695,False
122IAG,16040936,2026-08-21,580,0.692,False
122IAG,16040936,2026-08-21,581,1.491,True
122IAG,16040936,2026-08-21,822,0.751,False
122IAG,16040936,2026-08-21,823,1.348,True
122IAG,16040936,2026-08-21,824,0.489,False
122IAG,16040936,2026-08-21,826,0.861,False
122IAG,16040936,2026-08-21,827,1.334,True
122IAG,16040936,2026-08-21,828,0.858,False
122IAG,16040936,2026-08-21,830,1.114,False
122IAG,16040936,2026-08-21,831,1.383,True
122IAG,16040936,2026-08-21,832,0.821,False
122IAG,16040936,2026-08-21,833,1.181,True
