vehicle_id,device_id,ride_date,session_start,session_end,schema_tier,total_rows,battery_health_score,voltage_sag_events,fast_soc_drop_minutes,vehicle_health_score,vibration_spike_events,vibration_spike_rate_per_1000_rows,motor_health_score,motor_inefficiency_events,motor_current_rows_available
116IAG,1086344,2026-07-17,2026-07-17T06:26:28.694000,2026-07-17T23:56:42.151000,old,284108,100.0,0,0.0,80.6,2760,9.71,,0,0
116IAG,1086344,2026-07-27,2026-07-27T15:47:20.364000,2026-07-27T21:48:40.975000,mid,170311,87.6,5,2.4,77.7,1902,11.17,,0,0
122IAG,16040936,2026-08-21,2026-08-21T05:07:58.850000,2026-08-21T22:31:22.257000,new,75267,98.0,1,0.0,88.9,417,5.54,95.2,44,33217
122IAG,16040936,2026-08-22,2026-08-22T05:05:16.863000,2026-08-22T20:44:19.260000,new,221050,99.1,0,0.9,79.3,2288,10.35,94.7,186,117873
122IAG,16040936,2026-08-24,2026-08-24T04:49:03.440000,2026-08-24T16:37:12.659000,new,45563,100.0,0,0.0,89.2,247,5.42,95.9,20,17521
122IAG,16040936,2026-08-25,2026-08-25T05:13:56.926000,2026-08-25T21:12:09.769000,new,254453,50.0,18,14.0,83.6,2085,8.19,95.9,202,164601
122IAG,16040936,2026-08-26,2026-08-26T04:46:14.863000,2026-08-26T21:06:44.957000,new,225175,59.0,14,13.0,79.2,2346,10.42,95.1,211,150382
122IAG,16040936,2026-08-27,2026-08-27T04:32:59.862000,2026-08-27T21:51:06.602000,new,116326,77.8,10,2.2,82.4,1024,8.8,94.8,60,42425
122IAG,16040936,2026-08-28,2026-08-28T04:52:08.816000,2026-08-28T18:39:42.104000,new,109409,58.1,17,7.9,79.4,1125,10.28,92.8,116,62596
122IAG,16040936,2026-08-29,2026-08-29T05:10:00.203000,2026-08-29T19:42:54.605000,new,77568,83.0,6,5.0,84.2,613,7.9,95.8,63,52353
122IAG,16040936,2026-08-31,2026-08-31T04:37:34.705000,2026-08-31T21:47:17.287000,new,130761,98.7,0,1.3,81.9,1183,9.05,94.7,115,75949
122IAG,16040936,2026-09-01,2026-09-01T04:38:20.814000,2026-09-01T21:21:43.003000,new,3749,100.0,0,0.0,98.9,2,0.53,,0,0
122IAG,16040936,2026-09-02,2026-09-02T05:02:57.712000,2026-09-02T21:14:28.997000,new,5019,100.0,0,0.0,98.8,3,0.6,,0,0
122IAG,16113772,2026-07-29,2026-07-29T04:39:55.835000,2026-07-29T20:43:04.955000,mid,253489,98.5,0,1.5,67.4,4134,16.31,,0,0
122IAG,16113772,2026-07-30,2026-07-30T04:38:43.888000,2026-07-30T21:57:35.966000,mid,227442,23.4,17,42.6,59.5,4607,20.26,,0,0
122IAG,16113772,2026-08-05,2026-08-05T04:41:07.864000,2026-08-05T21:25:00.969000,mid,16996,100.0,0,0.0,99.8,2,0.12,,0,0
122IAG,16113772,2026-08-06,2026-08-06T05:04:14.892000,2026-08-06T21:30:34.171000,mid,300816,35.0,30,5.0,73.6,3965,13.18,,0,0
122IAG,16113772,2026-08-07,2026-08-07T04:43:03.880000,2026-08-07T04:59:05.965000,mid,9623,100.0,0,0.0,99.8,1,0.1,,0,0
122IAG,16113772,2026-08-08,2026-08-08T05:13:17.872000,2026-08-08T21:46:59.978000,mid,261067,100.0,0,0.0,74.6,3318,12.71,,0,0
122IAG,16113772,2026-08-10,2026-08-10T04:42:52.876000,2026-08-10T18:19:21.909000,mid,85322,70.7,12,5.3,71.1,1234,14.46,,0,0
122IAG,16113772,2026-08-11,2026-08-11T04:38:28.876000,2026-08-11T20:55:28.973000,mid,199055,53.2,13,20.8,70.1,2972,14.93,,0,0
122IAG,16113772,2026-08-12,2026-08-12T04:40:07.888000,2026-08-12T21:38:07.028000,mid,24448,100.0,0,0.0,99.5,6,0.25,,0,0
122IAG,16113772,2026-08-13,2026-08-13T05:11:10.888000,2026-08-13T21:33:24.465000,mid,16122,95.5,1,2.5,95.8,34,2.11,,0,0
122IAG,16113772,2026-08-14,2026-08-14T04:40:53.889000,2026-08-14T22:17:00.896000,mid,159802,97.6,1,0.4,75.9,1928,12.06,,0,0
122IAG,16113772,2026-08-15,2026-08-15T04:42:06.889000,2026-08-15T21:52:08.981000,mid,164369,100.0,0,0.0,74.9,2064,12.56,,0,0
122IAG,16113772,2026-08-17,2026-08-17T04:28:11.029000,2026-08-17T16:43:32.766000,mid,62572,99.9,0,0.1,88.3,367,5.87,,0,0
119IAG,16116688,2026-08-08,2026-08-08T05:12:03.854000,2026-08-08T21:34:19.988000,mid,405389,0.0,49,38.1,0.0,33057,81.54,,0,0
119IAG,16116688,2026-08-10,2026-08-10T04:42:45.864000,2026-08-10T21:22:57.039000,mid,330741,56.6,16,11.4,0.0,40651,122.91,,0,0
119IAG,16116688,2026-08-11,2026-08-11T04:40:27.863000,2026-08-11T21:13:24.970000,mid,22801,100.0,0,0.0,96.9,35,1.54,,0,0
119IAG,16116688,2026-08-12,2026-08-12T04:42:03.443000,2026-08-12T21:44:53.970000,mid,323159,0.0,32,52.1,0.0,37193,115.09,,0,0
119IAG,16116688,2026-08-13,2026-08-13T05:13:14.865000,2026-08-13T21:07:50.974000,mid,28569,100.0,0,0.0,40.1,855,29.93,,0,0
119IAG,16116688,2026-08-14,2026-08-14T04:42:32.863000,2026-08-14T22:20:38.166000,mid,454228,15.8,20,44.2,0.0,51765,113.96,,0,0
119IAG,16116688,2026-08-15,2026-08-15T04:42:37.889000,2026-08-15T21:55:42.994000,mid,488122,0.0,76,133.5,0.0,59665,122.23,,0,0
119IAG,16116688,2026-08-17,2026-08-17T04:21:29.897000,2026-08-17T21:19:16.968000,mid,422767,0.0,40,46.7,0.0,55595,131.5,,0,0
119IAG,16116688,2026-08-18,2026-08-18T04:53:47.878000,2026-08-18T20:52:50.969000,mid,69133,99.0,0,1.0,0.0,5762,83.35,,0,0
119IAG,16116688,2026-08-19,2026-08-19T04:44:57.876000,2026-08-19T20:54:35.987000,mid,328011,0.0,46,55.1,0.0,33417,101.88,,0,0
119IAG,16116688,2026-08-20,2026-08-20T05:07:05.874000,2026-08-20T21:38:47.979000,mid,31869,100.0,0,0.0,51.6,772,24.22,,0,0
119IAG,16116688,2026-08-21,2026-08-21T05:00:27.886000,2026-08-21T13:51:17.825000,mid,30797,99.1,0,0.9,0.0,2670,86.7,,0,0
119IAG,16116688,2026-08-22,2026-08-22T05:06:39.889000,2026-08-22T22:13:28.969000,mid,328204,0.0,30,63.1,0.0,33001,100.55,,0,0
119IAG,16116688,2026-08-24,2026-08-24T04:33:08.890000,2026-08-24T21:51:05.969000,mid,298605,72.0,13,2.0,0.0,33277,111.44,,0,0
119IAG,16116688,2026-08-25,2026-08-25T05:15:16.889000,2026-08-25T21:19:50.996000,mid,44037,100.0,0,0.0,83.8,357,8.11,,0,0
119IAG,16116688,2026-08-26,2026-08-26T04:47:16.888000,2026-08-26T21:12:37.969000,mid,44775,100.0,0,0.0,80.1,445,9.94,,0,0
119IAG,16116688,2026-08-27,2026-08-27T05:10:46.963000,2026-08-27T20:58:45.969000,mid,7226,100.0,0,0.0,0.0,528,73.07,,0,0
119IAG,16116688,2026-08-28,2026-08-28T04:51:37.910000,2026-08-28T14:08:04.969000,mid,5179,100.0,0,0.0,87.6,32,6.18,,0,0
